TICKETS,FECHA,ZONAS,SUCURSALES,TECNICO REFERENTE,TRABAJO,PRIORIDAD,RUBRO,ESTADO,,CHECKLIST,TICKET RELACIONADO,OBSERVACIONES,RESPONSABLE,PRESUPUESTO,N PRESUP,IMAGEN,DIRECCION
1120-52763,2/11/2020,NORTE,San Martin,Cuello Francisco Waldemar,Trabajos varios,Normal,VARIOS,REALIZADO,,,,,pedidos@bauman.com.ar,,,SUC_Images/118.IMAGEN.001149.png,"Inte A M Campos 1951, B1650 General San Martin, Provincia de Buenos Aires"
1120-52764,2/11/2020,CABA,Nueva Pompeya,Aquino Diego Daniel,Pileta,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipOPJjc-Hg1UEcr60mrdI76RSuRgPxJHDwhj_AG6=w426-h240-k-no,"Del Barco Centenera 2933, C1437ACB Cdad. Autónoma de Buenos Aires"
1120-52765,2/11/2020,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,3 sillas de Suc. Lanus,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,SUC_Images/8.IMAGEN.024956.png,"Av. Antártida Argentina 1100, C1104 CABA"
1120-52766,3/11/2020,SUR,CDD Banfield,Sarmiento Ariel,Bidet/Jefatura de Area 4,Normal,SANITARIO,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QD2BBh2FQgqtT6IZfDC5DA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=181.87666&pitch=0&thumbfov=100,"Antonio Berutti 1248, Banfield, Provincia de Buenos Aires"
1120-52767,3/11/2020,EDIFICIOS,Edificio French,Aquino Diego Daniel,Luminarias/sector digitalización,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
1120-52768,3/11/2020,NORTE,CDD Villa Ballester,Cuello Francisco Waldemar,"Mesada, luminarias y puertas",Normal,VARIOS,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipOUI-r4mjUthpEO36SDKWYexyJnEOdoiwjQ-ONR=w426-h240-k-no,"República 5363, Villa Ballester, Provincia de Buenos Aires"
1120-52769,3/11/2020,OESTE,CDD Hurlingham,Encalada Roberto Nahuel,"Tubos, termo y protección provisorio sobre vidrio",Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,SUC_Images/171.IMAGEN.115226.png,"Av. Gdor. Vergara 3443, Hurlingham, Provincia de Buenos Aires"
1120-52770,3/11/2020,SUR,CDD Lanús,Sarmiento Ariel,Portón de ingreso,Normal,CIVIL,REALIZADO,,,,presup.,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=u2rvdN9oA1JQ0iEhtNeXOw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=287.91458&pitch=0&thumbfov=100,"Vélez Sársfield 1371, B1824 Lanús, Provincia de Buenos Aires"
1120-52771,3/11/2020,SUR,CDD Lanús,Sarmiento Ariel,Bisagras portón interno,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=u2rvdN9oA1JQ0iEhtNeXOw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=287.91458&pitch=0&thumbfov=100,"Vélez Sársfield 1371, B1824 Lanús, Provincia de Buenos Aires"
1120-52772,3/11/2020,OESTE,CDD El Palomar,Encalada Roberto Nahuel,Baños y tubos,Normal,VARIOS,REALIZADO,,,,,pedidos@bauman.com.ar,,,SUC_Images/170.IMAGEN.115512.png,"Marconi y, Rosetti, El Palomar, Provincia de Buenos Aires"
1120-52773,3/11/2020,CABA,Villa Real,Aquino Diego Daniel,Tubos y flotante de baño,Normal,VARIOS,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6dQg0eI-1pAH8FnGQsxQGg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=212.42621&pitch=0&thumbfov=100,"Av. Lope de Vega 2888, C1417COZ CABA"
1120-52774,3/11/2020,CABA,Villa Urquiza,Aquino Diego Daniel,Toma,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uumhUc7LRrXN3Udl3AMh7g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=152.50993&pitch=0&thumbfov=100,"Av. Monroe 5254, Buenos Aires"
1120-52775,3/11/2020,SUR,CDD Quilmes Oeste,Sarmiento Ariel,Tubos,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_F1EL3VlSeuJR4P-aFqX2g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=65.53763&pitch=0&thumbfov=100,"Martín Rodríguez 199, Quilmes, Provincia de Buenos Aires"
1120-52776,3/11/2020,EDIFICIOS,Sede Central Operativa Mte. Grande 2,Almiron Sergio Octavio,Luminarias/Marcelo Arin,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipPRDsDRKY7-qobCtJjGtH2p0PHsFOqDpS8tbGF7=w426-h240-k-no,"Av. V. Fair 1398-1300, El Jagüel, Provincia de Buenos Aires"
1120-52777,3/11/2020,CABA,Monserrat,Aquino Diego Daniel,Pasaencomiendas,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipN9Hqn2wREeiElbn2AqU28Pf8JG1neU-2yaYQnk=w408-h544-k-no,"Av. Entre Ríos 452, C1079 CABA"
1120-52778,3/11/2020,CABA,Villa Lugano,Aquino Diego Daniel,Reparar escritorio,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oO_v5DXmHH1m3NFxf5oxSA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=317.20813&pitch=0&thumbfov=100,"Av. Riestra 5719, C1439BYI CABA"
1120-52779,3/11/2020,EDIFICIOS,Edificio French,Aquino Diego Daniel,Cerrajeria/Agostina Campolonghi,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
1120-52780,3/11/2020,NORTE,San Martin,Cuello Francisco Waldemar,Mamposteria cae sobre peatones,Emerg. Alta,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,SUC_Images/118.IMAGEN.001149.png,"Inte A M Campos 1951, B1650 General San Martin, Provincia de Buenos Aires"
1120-52781,3/11/2020,OESTE,CDP Morón/Entre Rios 1036/56,Encalada Roberto Nahuel,Luz del sótano,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipNB_6U9JXhyhpq_ze47uuj1AVfYTZnVQjEvEd7a=w480-h240-k-no,"Entre Ríos 1098, B1708DRO Morón, Provincia de Buenos Aires"
1120-52782,4/11/2020,EDIFICIOS,Edificio French,Aquino Diego Daniel,Monocomando/Ramponi,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
1120-52783,4/11/2020,SUR,CDD Avellaneda,Sarmiento Ariel,Tubos,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3T2e606HpSxq3XihZOis2A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=49.775326&pitch=0&thumbfov=100,"Av. Manuel Belgrano no 390, Avellaneda, Provincia de Buenos Aires"
1120-52784,4/11/2020,SUR,CDD Berazategui,Sarmiento Ariel,Comando de ventilador,Normal,CIVIL,REALIZADO,,,,presup.,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LeMpiJHHDELBHFftisdwWQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=166.52043&pitch=0&thumbfov=100,"Av. Rigolleau 4457, B1884 Berazategui, Provincia de Buenos Aires"
1120-52785,4/11/2020,CABA,Monte Castro,Aquino Diego Daniel,Llave luz en corto,Emerg prog,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=q23RBNKxuP9SNVgjRh_Fzw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=141.14938&pitch=0&thumbfov=100,"Av. Álvarez Jonte 5150, C1128 CABA"
1120-52786,4/11/2020,NORTE,CDD San Martin,Cuello Francisco Waldemar,"Deposito, canilla y sifón",Normal,SANITARIO,REALIZADO,,,,,pedidos@bauman.com.ar,,,SUC_Images/118.IMAGEN.001149.png,"Inte A M Campos 1951, B1650 General San Martin, Provincia de Buenos Aires"
1120-52787,4/11/2020,NORTE,Munro,Cuello Francisco Waldemar,Mochila,Emerg prog,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipMAQMRaQNPVVb-WLEYZP3VwoAzKIB7ohm6DuR3k=w426-h240-k-no,"Av Dr, Vélez Sársfield 4319, B1605 Munro, Provincia de Buenos Aires"
1120-52788,4/11/2020,CABA,Paraguay 767,Aquino Diego Daniel,Picaporte,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KIrhFmmbpG-K41jkt9VdYw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=324.97366&pitch=0&thumbfov=100,"Paraguay 767, C1057AAI CABA"
1120-52789,4/11/2020,SUR,Florencio Varela,Sarmiento Ariel,"Mingitorios, luminarias y filtraciòn",Normal,VARIOS,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipOhvlv_exmMJ1nHMi0jBs2I2c1CGtSYo2kyiKQC=w426-h240-k-no,"España 3212, B1888 Florencio Varela, Provincia de Buenos Aires"
1120-52790,4/11/2020,NORTE,CDD Don Torcuato,Cuello Francisco Waldemar,Luminarias,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,SUC_Images/139.IMAGEN.003223.png,Av. Alvear 1656 (Ruta 202)
1120-52791,4/11/2020,EDIFICIOS,Planta Tortuguitas,Rodriguez Basualdo Jose Luis,Trabajos varios/Carolina Diaz,Normal,VARIOS,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipPqv3sg6IYJHzQwMqZ16zY_RyrfO09qdvbK5X-f=w408-h306-k-no,"B1667JHH, Estados Unidos 4602-5100, B1667JHH Area de Promoción El Triángulo, Provincia de Buenos Aires"
1120-52792,4/11/2020,OESTE,San Justo,Encalada Roberto Nahuel,Tanque de agua,Emerg prog,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipND-sedo6PM6xgMCiOtrywX6-aJ6fDEU_CqIikT=w408-h306-k-no,"Almafuerte 3171, B1754 San Justo, Provincia de Buenos Aires"
1120-52793,4/11/2020,OESTE,San Justo,Encalada Roberto Nahuel,Colocar estufa,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipND-sedo6PM6xgMCiOtrywX6-aJ6fDEU_CqIikT=w408-h306-k-no,"Almafuerte 3171, B1754 San Justo, Provincia de Buenos Aires"
1120-52794,4/11/2020,CABA,Villa Urquiza,Aquino Diego Daniel,Otro toma,Emerg prog,ELECTRICIDAD,REALIZADO,,,,al final era el mismo toma,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uumhUc7LRrXN3Udl3AMh7g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=152.50993&pitch=0&thumbfov=100,"Av. Monroe 5254, Buenos Aires"
1120-52795,4/11/2020,OESTE,CDP Morón/Entre Rios 1036/56,Encalada Roberto Nahuel,Filtraciòn,Emerg. Alta,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipNB_6U9JXhyhpq_ze47uuj1AVfYTZnVQjEvEd7a=w480-h240-k-no,"Entre Ríos 1098, B1708DRO Morón, Provincia de Buenos Aires"
1120-52796,4/11/2020,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,"Griferia, inodoro y puerta/Rodolfo Gomez",Emerg. Alta,VARIOS,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1120-52797,5/11/2020,OESTE,San Justo,Encalada Roberto Nahuel,Pulsadores,Emerg prog,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipND-sedo6PM6xgMCiOtrywX6-aJ6fDEU_CqIikT=w408-h306-k-no,"Almafuerte 3171, B1754 San Justo, Provincia de Buenos Aires"
1120-52798,5/11/2020,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Tubos/Patricia Beccar,Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1120-52799,5/11/2020,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Tubo/Diego Oliver,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1120-52800,5/11/2020,CABA,CDD 23,Aquino Diego Daniel,Luminarias,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PjPd-vsjds5PlI2FCQtIiQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=297.5941&pitch=0&thumbfov=100,"La Rioja 1189, C1221ACM CABA*"
1120-52801,5/11/2020,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Piso/Gerente Ruiz,Emerg prog,CIVIL,REALIZADO,,,,presup.,pedidos@bauman.com.ar,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1120-52802,5/11/2020,EDIFICIOS,Sede Central Operativa Mte. Grande 2,Almiron Sergio Octavio,Mamparas baño/Marcelo Arin,Normal,SANITARIO,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipPRDsDRKY7-qobCtJjGtH2p0PHsFOqDpS8tbGF7=w426-h240-k-no,"Av. V. Fair 1398-1300, El Jagüel, Provincia de Buenos Aires"
1120-52803,5/11/2020,CABA,Villa Lugano,Aquino Diego Daniel,Casillas de correo,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oO_v5DXmHH1m3NFxf5oxSA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=317.20813&pitch=0&thumbfov=100,"Av. Riestra 5719, C1439BYI CABA"
1120-52804,5/11/2020,OESTE,CDD El Palomar,Encalada Roberto Nahuel,Techo,Emerg prog,CIVIL,REALIZADO,,,,presup.,pedidos@bauman.com.ar,,,SUC_Images/170.IMAGEN.115512.png,"Marconi y, Rosetti, El Palomar, Provincia de Buenos Aires"
1120-52805,5/11/2020,NORTE,Villa Ballester,Cuello Francisco Waldemar,Revisar instalaciones de agua,Normal,SANITARIO,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=K_Ou6KB_oZN4Sgu0XpHDFA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=90.548615&pitch=0&thumbfov=100,"Vicente López 3044, B1653 Villa Ballester, Provincia de Buenos Aires"
1120-52806,5/11/2020,CABA,Flores,Aquino Diego Daniel,Revisar suministro eléctrico,Emerg prog,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipP7tAO7T1AlAbcVmrUrLsiQxH3pqmrvG1MC19DT=w408-h306-k-no,"Artigas, Gral. José Gervasio Artigas 40, C1406 Buenos Aires"
1120-52807,5/11/2020,EDIFICIOS,Sede Central Operativa Mte. Grande 2,Almiron Sergio Octavio,Destrabar extractores eólicos/Zaldívar,Emerg prog,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipPRDsDRKY7-qobCtJjGtH2p0PHsFOqDpS8tbGF7=w426-h240-k-no,"Av. V. Fair 1398-1300, El Jagüel, Provincia de Buenos Aires"
1120-52808,5/11/2020,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,2 sillas de Suc. Quilmes,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,SUC_Images/8.IMAGEN.024956.png,"Av. Antártida Argentina 1100, C1104 CABA"
1120-52809,6/11/2020,CABA,Parque Chacabuco,Aquino Diego Daniel,Trabajos varios,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipPS-or2ypf2UjaPZFfroiIBQfzFXg0JkNOwtWK6=w408-h306-k-no,"Curapaligüe 815, C1406 CABA"
1120-52810,6/11/2020,OESTE,CDP Morón/Entre Rios 1036/56,Encalada Roberto Nahuel,Cortina y luminaria,Emerg. Alta,VARIOS,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipNB_6U9JXhyhpq_ze47uuj1AVfYTZnVQjEvEd7a=w480-h240-k-no,"Entre Ríos 1098, B1708DRO Morón, Provincia de Buenos Aires"
1120-52811,6/11/2020,NORTE,CDD San Miguel,Encalada Roberto Nahuel,Portón de entrada,Emerg. Alta,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZPWub2nJ8CUWyEcbIua0lw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=311.23642&pitch=0&thumbfov=100,"Belgrano 1374, B1663NMA San Miguel, Provincia de Buenos Aires"
1120-52812,6/11/2020,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Luminaria/Silvia Ferro,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1120-52813,6/11/2020,NORTE,Villa San Andres,Cuello Francisco Waldemar,Baños,Emerg prog,SANITARIO,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh6.googleusercontent.com/proxy/Dzu2gBP7v3HHa-bFZClckuNbffch8qCKM0vpHA9EohCglahkHQjTERs1rJEKlHPa7yaVHzHMdp4ncUd2VbJksitY9_yILCJ7ZbPcMW37dTZeQhJfvMO_R14X_p_W-vX9DUk47g5vmWYOtejydmDb5HCQbO2CB72I7Fs-NbuAP5G3=w408-h306-k-no,"Maestro Soule San Martin 501, B6720 San Andres de Giles, Provincia de Buenos Aires"
1120-52814,6/11/2020,CABA,Plaza R. Peña,Aquino Diego Daniel,Pared,Normal,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipPzt6CI74dzTlhpOcW3eW9rnZyN2KQigLjnEsrl=w408-h306-k-no,"Uruguay 1069, C1016 CABA"
1120-52815,6/11/2020,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,Luminarias/Rita Prieto,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,SUC_Images/8.IMAGEN.024956.png,"Av. Antártida Argentina 1100, C1104 CABA"
1120-52816,6/11/2020,NORTE,Munro,Cuello Francisco Waldemar,Luminarias,Normal,ELECTRICIDAD,REALIZADO,,,,presup.,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipMAQMRaQNPVVb-WLEYZP3VwoAzKIB7ohm6DuR3k=w426-h240-k-no,"Av Dr, Vélez Sársfield 4319, B1605 Munro, Provincia de Buenos Aires"
1120-52817,6/11/2020,CABA,Paraguay 767,Aquino Diego Daniel,Luminarias,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KIrhFmmbpG-K41jkt9VdYw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=324.97366&pitch=0&thumbfov=100,"Paraguay 767, C1057AAI CABA"
1120-52818,6/11/2020,CABA,Parque Chacabuco,Aquino Diego Daniel,Luces de emergencia,Normal,ELECTRICIDAD,REALIZADO,,,,presup.,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipPS-or2ypf2UjaPZFfroiIBQfzFXg0JkNOwtWK6=w408-h306-k-no,"Curapaligüe 815, C1406 CABA"
1120-52819,6/11/2020,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,"Flotante tanque, codo y canilla",Emerg. Alta,SANITARIO,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1120-52820,9/11/2020,EDIFICIOS,Sede Central Operativa Mte. Grande 2,Almiron Sergio Octavio,"Tapa mochila e inodoros, marco de puerta y luces led/Zaldivar",Normal,VARIOS,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://lh5.googleusercontent.com/p/AF1QipPRDsDRKY7-qobCtJjGtH2p0PHsFOqDpS8tbGF7=w426-h240-k-no,"Av. V. Fair 1398-1300, El Jagüel, Provincia de Buenos Aires"
1120-52821,9/11/2020,OESTE,Villa Bosch,Encalada Roberto Nahuel,Cortina,Emerg. Alta,CIVIL,REALIZADO,,,,,pedidos@bauman.com.ar,,,SUC_Images/124.IMAGEN.001557.png,"Santos Vega 6121, B1682AII Villa Bosch, Provincia de Buenos Aires"
1120-52822,9/11/2020,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Tubos/San Martin,Normal,ELECTRICIDAD,REALIZADO,,,,,pedidos@bauman.com.ar,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
